Ticker,Category,Price,Trend,RSI,Volatility,Momentum_1M
TRGP,Sector_Energy,182.31,BEAR,77.05,23.74,5.32
APA,Sector_Energy,25.93,BULL,66.61,36.49,5.02
APA,Sector_Energy,27.1,BULL,65.71,36.77,14.64
APA,Sector_Energy,27.1,BULL,65.71,36.77,14.64
APA,Sector_Energy,25.95,BULL,69.74,38.05,8.62
TRGP,Sector_Energy,180.26,BEAR,64.73,25.49,6.3
DVN,Sector_Energy,36.51,BULL,56.19,26.93,4.18
EOG,Sector_Energy,112.16,BEAR,59.09,19.24,6.63
EXE,Sector_Energy,107.7,BULL,32.43,33.23,-8.07
EXE,Sector_Energy,111.04,BULL,43.59,31.29,-5.87
WMB,Sector_Energy,62.81,BULL,58.54,25.24,8.41
EOG,Sector_Energy,108.01,BEAR,52.93,20.87,-1.13
EOG,Sector_Energy,112.17,BEAR,55.94,19.19,6.83
DVN,Sector_Energy,36.38,BULL,49.88,30.08,1.42
FANG,Sector_Energy,154.06,BULL,63.13,22.16,3.26
TRGP,Sector_Energy,182.66,BULL,68.32,24.27,7.63
APA,Sector_Energy,26.71,BULL,64.31,47.42,23.31
APA,Sector_Energy,26.39,BULL,59.66,39.29,8.38
APA,Sector_Energy,26.71,BULL,64.31,47.42,23.31
FANG,Sector_Energy,152.37,BULL,55.12,24.28,1.86
DVN,Sector_Energy,36.17,BULL,51.72,27.18,0.92
EOG,Sector_Energy,112.17,BEAR,55.94,19.19,6.83
EOG,Sector_Energy,109.51,BEAR,60.04,20.34,0.71
WMB,Sector_Energy,,BEAR,64.33,23.64,2.23
CTRA,Sector_Energy,27.39,BULL,60.15,25.31,3.87
CTRA,Sector_Energy,26.27,BULL,54.73,26.6,1.66
VLO,Sector_Energy,160.44,BULL,27.41,28.31,-13.48
KMI,Sector_Energy,26.53,BEAR,46.03,20.59,-2.05
SLB,Sector_Energy,38.79,BULL,66.17,31.93,6.84
BKR,Sector_Energy,46.86,BULL,37.71,25.3,-1.37
BKR,Sector_Energy,49.2,BULL,53.24,24.07,4.04
OKE,Sector_Energy,76.34,BEAR,76.91,17.41,12.58
HAL,Sector_Energy,27.45,BULL,63.23,28.15,2.45
HAL,Sector_Energy,28.41,BULL,77.96,24.84,4.07
OKE,Sector_Energy,,BEAR,77.28,19.32,10.35
BKR,Sector_Energy,49.2,BULL,53.24,24.07,4.04
BKR,Sector_Energy,47.46,BULL,46.38,24.89,-0.15
TPL,Sector_Energy,905.5,BEAR,56.95,47.31,-0.03
KMI,Sector_Energy,26.72,BEAR,50.0,20.01,-2.55
COP,Sector_Energy,,BEAR,64.32,30.38,7.93
VLO,Sector_Energy,167.9,BULL,36.65,31.58,-7.63
CTRA,Sector_Energy,26.49,BULL,59.68,26.74,1.38
MPC,Sector_Energy,170.35,BULL,15.29,26.62,-12.87
CTRA,Sector_Energy,27.39,BULL,60.15,25.31,3.87
CTRA,Sector_Energy,26.86,BULL,56.04,27.74,1.78
CTRA,Sector_Energy,27.34,BULL,63.35,26.49,6.17
PSX,Sector_Energy,,BEAR,51.59,27.07,0.3
OXY,Sector_Energy,42.43,BEAR,47.1,20.56,5.29
XOM,Sector_Energy,116.72,BULL,52.21,19.74,-0.54
SLB,Sector_Energy,38.9,BULL,71.35,29.8,5.31
CVX,Sector_Energy,,BEAR,35.52,17.12,-4.46
BKR,Sector_Energy,50.61,BULL,71.95,21.32,7.59
BKR,Sector_Energy,47.69,BULL,47.78,26.52,-2.27
HAL,Sector_Energy,28.3,BULL,74.03,26.19,4.74
CVX,Sector_Energy,150.0,BEAR,30.62,17.92,-1.92
BKR,Sector_Energy,50.61,BULL,71.95,21.32,7.59
SLB,Sector_Energy,37.87,BULL,62.86,30.16,5.08
KMI,Sector_Energy,26.74,BEAR,47.18,21.33,-0.58
OXY,Sector_Energy,,BEAR,38.07,20.57,-1.05
VLO,Sector_Energy,166.76,BULL,37.27,35.12,-5.13
PSX,Sector_Energy,139.36,BULL,44.64,27.12,0.84
CTRA,Sector_Energy,27.34,BULL,63.35,26.49,6.17
CTRA,Sector_Energy,26.28,BULL,54.88,26.57,1.72
VLO,Sector_Energy,174.95,BULL,49.11,36.24,2.83
PSX,Sector_Energy,131.66,BULL,39.62,31.62,-2.1
XOM,Sector_Energy,,BEAR,37.55,16.07,-1.89
SLB,Sector_Energy,39.45,BULL,72.03,29.55,8.65
